"wardcode","conflict_index"
"10101",8
"10106",8
"10107",6
"10108",3
"10109",8
"10110",8
"10201",8
"10202",5
"10205",6
"10206",7
"10207",5
"10208",6
"10209",3
"10210",2
"10211",5
"10213",4
"10301",8
"10302",5
"10304",8
"10305",7
"10306",7
"10307",7
"10308",8
"10309",7
"10311",8
"10312",8
"10313",6
"10409",6
"10501",8
"10506",2
"10507",6
"10508",4
"10509",6
"10510",4
"10511",5
"10602",6
"10603",8
"10604",2
"10605",8
"10606",7
"10607",1
"10609",7
"10610",6
"10701",8
"10702",6
"10703",8
"10705",8
"10706",5
"10707",7
"10708",8
"10709",8
"10710",6
"10711",8
"10802",2
"10803",8
"10804",8
"10806",7
"10807",8
"10904",5
"10905",8
"10906",6
"10907",5
"10910",6
"11004",7
"11006",3
"11007",4
"11008",7
"11010",7
"11101",7
"11102",8
"11103",2
"11105",6
"11107",7
"11108",8
"11109",7
"11110",4
"11111",7
"11112",7
"11113",7
"11203",3
"11206",3
"11208",5
"11212",5
"11306",5
"11307",3
"11308",6
"11310",5
"11311",1
"11401",7
"11410",8
"11411",7
"11503",5
"11505",6
"11509",8
"11601",8
"11602",6
"11603",5
"11604",7
"11606",7
"11607",8
"11609",8
"11610",5
"11611",8
"11701",7
"11702",7
"11706",7
"11707",3
"11709",8
"11710",4
"11805",1
"11806",5
"11901",8
"11903",8
"11904",8
"11906",8
"11907",8
"11908",6
"11909",4
"11911",5
"11912",8
"12001",4
"12003",5
"12004",3
"12005",5
"12009",2
"12010",2
"12012",6
"12013",7
"12101",6
"12103",6
"12107",7
"12109",8
"12112",2
"12201",7
"12202",6
"12203",3
"12204",5
"12205",8
"12206",8
"12207",7
"12208",2
"12209",8
"12302",6
"12305",6
"12307",8
"12413",7
"12501",7
"12504",8
"12505",7
"12506",7
"12507",8
"12509",7
"12510",7
"12604",8
"12606",8
"12607",6
"12706",6
"12710",5
"40101",8
"40105",5
"40110",1
"40202",6
"40203",6
"40204",4
"40205",2
"40207",1
"40301",1
"40302",8
"40303",1
"40304",4
"40305",6
"40306",4
"40307",7
"40309",2
"40310",6
"40507",4
"40601",2
"40610",1
"40701",7
"40708",7
"40803",4
"40807",4
"40901",5
"40902",5
"40904",7
"40905",6
"40906",5
"40907",6
"40910",8
"41006",6
"41203",6
"41207",5
"41210",7
"41211",1
"41301",1
"41302",7
"41303",5
"41304",5
"41305",5
"41306",6
"41307",5
"41308",4
"41309",5
"41402",7
"41404",5
"41406",1
"41409",4
"41506",1
"41601",6
"41602",8
"41603",7
"41604",7
"41605",7
"41608",6
"41611",6
"41701",5
"41704",3
"41705",5
"41710",2
"41804",3
"41903",3
"41904",6
"41905",8
"41908",7
"41909",7
"41910",6
"41911",3
"42003",6
"42107",5
"42201",7
"42202",2
"42203",5
"42204",8
"42205",2
"42209",7
"42306",4
"42307",2
"42501",5
"42503",4
"42505",6
"42507",7
"42509",1
"42511",5
"42512",4
"42607",2
"42802",6
"42805",7
"42810",6
"42901",7
"42902",2
"42905",3
"42906",1
"42909",6
"42911",6
"43102",7
"43104",5
"43106",1
"43107",1
"43109",7
"43201",6
"43203",5
"43205",7
"43207",7
"43208",6
"43209",8
"43301",2
"50101",2
"50201",3
"50207",5
"50208",4
"50401",8
"50409",3
"50503",3
"50613",6
"50708",6
"50709",4
"50710",5
"50901",3
"51005",1
"51108",5
"51302",4
"51306",1
"51307",1
"51408",7
"51501",5
"51510",6
"51602",6
"51603",6
"51605",6
"51607",6
"51608",8
"51609",4
"51706",4
"51708",6
"51811",4
"51901",5
"51902",5
"51903",6
"51904",6
"51905",6
"51907",5
"51908",3
"51909",7
"51910",7
"52105",6
"60101",7
"60102",2
"60109",8
"60206",3
"60301",1
"60302",5
"60311",3
"60402",5
"60403",5
"60405",5
"60407",5
"60501",7
"60502",4
"60503",6
"60504",8
"60505",6
"60506",6
"60507",1
"60508",5
"60509",7
"60510",4
"60511",7
"60603",6
"60608",4
"60701",4
"60702",6
"60703",1
"60705",4
"60706",6
"60708",5
"60709",6
"60801",5
"60802",6
"60804",5
"60805",1
"60806",7
"60807",7
"60808",6
"60809",5
"60810",6
"60901",6
"60903",1
"60904",7
"60906",2
"60907",6
"60908",7
"60910",5
"61001",1
"61006",3
"61010",2
"61107",7
"61109",5
"61201",7
"61203",6
"61204",7
"61205",5
"61206",7
"61207",5
"61209",4
"61210",2
"61301",7
"61302",8
"61304",7
"61305",3
"61306",1
"61307",8
"61308",4
"61309",6
"61310",5
"61311",7
"61606",7
"61708",6
"61710",3
"61804",1
"61811",1
"61901",7
"61905",7
"61906",5
"61907",6
"61908",5
"61909",1
"61910",7
"62002",6
"62004",2
"62007",6
"62010",5
"62101",4
"62103",1
"62108",4
"62110",1
"62111",3
"62202",1
"62203",2
"62205",1
"62206",7
"62207",1
"62307",4
"70105",4
"70202",4
"70203",6
"70306",6
"70311",6
"70405",3
"70409",3
"70601",3
"70605",5
"70607",4
"70609",6
"70701",8
"70702",7
"70704",8
"70706",7
"70707",4
"70708",8
"70801",2
"70802",1
"70803",1
"70804",3
"70910",1
"71006",4
"71406",3
"71501",1
"71503",6
"71507",1
"71606",6
"71608",3
"80101",6
"80102",8
"80103",8
"80104",7
"80105",1
"80106",2
