"","x"
"1",2216.08349609375
"2",198.29963684082
"3",1127.58508300781
"4",2296.44384765625
"5",7027.75439453125
"6",15510.8466796875
"7",4754.3076171875
"8",807.342346191406
"9",6012.8720703125
"10",445.720703125
"11",7833.3662109375
"12",1450.74987792969
"13",1048.11120605469
"14",318.508026123047
"15",156.11637878418
"16",1644.19287109375
"17",3316.80126953125
"18",465.348022460938
"19",4305.0625
"20",26896.88671875
"21",6139.4423828125
"22",881.305419921875
"23",5736.56689453125
"24",2587.962890625
"25",3232.81811523438
"26",875.669982910156
"27",4951.0283203125
"28",1626.48645019531
"29",967.359008789062
"30",4161.61474609375
"31",3065.82421875
"32",2662.6220703125
"33",7688.01220703125
"34",14974.8046875
"35",18577.796875
"36",18407.3828125
"37",18986.853515625
"38",9387.5625
"39",32518.595703125
"40",16542.6328125
"41",12676.7021484375
"42",49479.64453125
"43",10745.9921875
"44",74396.5625
"45",318.295379638672
"46",26123.91015625
"47",1924.85034179688
"48",6313.5419921875
"49",13669.9169921875
"50",27025.75
"51",10743.330078125
"52",13128.3310546875
"53",29240.17578125
"54",7308.2451171875
"55",384.795959472656
"56",15496.7998046875
"57",58840.59765625
"58",10773.1533203125
"59",4793.01904296875
"60",12493.267578125
"61",8213.8798828125
"62",18909.60546875
"63",17722.095703125
"64",12375.572265625
"65",10390.712890625
"66",6562.17529296875
"67",10819.564453125
"68",9367.0166015625
"69",10351.1357421875
"70",6460.5810546875
"71",9461.7734375
"72",1098.3408203125
"73",311.1123046875
"74",35036.50390625
"75",6846.31591796875
"76",31261.22265625
"77",23840.134765625
"78",21344.130859375
"79",37837.4375
"80",7944.177734375
"81",20521.6484375
"82",4989.72509765625
"83",9531.37109375
"84",10504.1943359375
"85",3270.69775390625
"86",29628.814453125
"87",921.627319335938
"88",4834.33447265625
"89",18654.66796875
"90",12620.390625
"91",13470.697265625
"92",18631.375
"93",27332.78125
"94",27277.490234375
"95",180153.328125
"96",50007.21484375
"97",21318.54296875
"98",14760.09765625
"99",32178.537109375
"100",6677.61279296875
"101",17704.900390625
"102",4195.07080078125
"103",2510.51293945312
"104",12157.970703125
"105",16954.521484375
"106",690.392639160156
"107",3927.26586914062
"108",7288.62255859375
"109",8441.5234375
"110",8900.3759765625
"111",5391.3076171875
"112",8302.2890625
"113",10728.70703125
"114",12220.4306640625
"115",16649.041015625
"116",5119.05419921875
"117",4742.51171875
"118",34363.11328125
"119",10622.703125
"120",4393.44873046875
"121",11573.365234375
"122",13744.767578125
"123",1615.38391113281
"124",6831.1748046875
"125",10503.9931640625
"126",4958.50048828125
"127",5538.1943359375
"128",7150.6201171875
